timestamp,hour_of_day,day_of_week,month,temperature_C,humidity_percent,rain_rate_mmhr,wind_speed_ms,pressure_hPa,snr_dB
2024-01-01 00:00:00,0,0,1,28.2,84.02,1.82,1.91,1009.49,23.6537
2024-01-01 00:01:00,0,0,1,28.4,85.15,0.459,3.42,1010.24,26.5001
2024-01-01 00:02:00,0,0,1,27.34,86.37,1.989,2.57,1010.43,19.7282
2024-01-01 00:03:00,0,0,1,28.41,88.1,2.364,2.81,1010.38,20.163
2024-01-01 00:04:00,0,0,1,28.41,89.75,0.647,4.26,1009.58,22.1266
2024-01-01 00:05:00,0,0,1,28.58,90.73,1.509,1.74,1010.36,23.0512
2024-01-01 00:06:00,0,0,1,28.48,89.88,0.925,1.75,1009.97,25.1644
2024-01-01 00:07:00,0,0,1,28.58,85.93,0.945,1.74,1009.33,24.5603
2024-01-01 00:08:00,0,0,1,29.26,89.94,1.394,2.98,1009.18,20.0378
2024-01-01 00:09:00,0,0,1,28.78,86.95,0.955,3.64,1010.27,18.2929
2024-01-01 00:10:00,0,0,1,28.55,88.39,1.002,3.78,1010.1,23.3876
2024-01-01 00:11:00,0,0,1,28.49,86.82,1.224,2.01,1009.24,20.8523
2024-01-01 00:12:00,0,0,1,27.91,89.43,5.102,2.75,1008.82,20.5215
2024-01-01 00:13:00,0,0,1,29.03,86.71,1.235,2.37,1010.44,24.2267
2024-01-01 00:14:00,0,0,1,28.55,88.77,1.535,3.49,1010.34,18.5678
2024-01-01 00:15:00,0,0,1,28.7,86.84,0.048,3.03,1009.74,22.5512
2024-01-01 00:16:00,0,0,1,28.7,88.47,0.466,2.97,1009.93,22.7444
2024-01-01 00:17:00,0,0,1,29.23,90.99,0.742,3.03,1009.41,22.2041
2024-01-01 00:18:00,0,0,1,28.5,88.88,1.595,3.09,1009.47,24.0409
2024-01-01 00:19:00,0,0,1,29.26,87.41,1.316,2.06,1009.76,23.2143
2024-01-01 00:20:00,0,0,1,29.36,90.08,5.009,2.96,1009.34,18.0342
2024-01-01 00:21:00,0,0,1,28.59,89.04,0.422,2.29,1010.13,24.5946
2024-01-01 00:22:00,0,0,1,28.8,85.19,0.072,2.8,1009.62,25.1571
2024-01-01 00:23:00,0,0,1,29.78,88.69,1.299,3.36,1009.34,24.4183
2024-01-01 00:24:00,0,0,1,29.75,87.56,1.896,2.86,1009.41,22.9219
2024-01-01 00:25:00,0,0,1,28.56,90.46,0.773,2.27,1008.92,23.1641
2024-01-01 00:26:00,0,0,1,29.29,89.09,1.183,2.95,1009.76,24.9134
2024-01-01 00:27:00,0,0,1,28.99,86.14,0.708,3.62,1009.48,25.5055
2024-01-01 00:28:00,0,0,1,29.04,87.7,0.746,1.67,1009.51,23.6395
2024-01-01 00:29:00,0,0,1,29.16,93.16,2.332,2.29,1008.39,17.4333
2024-01-01 00:30:00,0,0,1,29.49,88.27,1.387,2.27,1009.83,22.3115
2024-01-01 00:31:00,0,0,1,28.74,89.98,1.45,1.8,1009.57,20.563
2024-01-01 00:32:00,0,0,1,28.83,88.35,1.203,3.24,1009.26,23.6233
2024-01-01 00:33:00,0,0,1,29.17,86.56,0.209,1.59,1009.67,23.9251
